time,TS1
4.866645516206821e-09,
0.008351856949957437,294.379
0.016702934733378545,294.374
0.02504305833329757,294.378
0.03339277986669913,294.374
0.04174405556671748,294.374
0.05009533541669953,294.372
0.05843771875006496,294.374
0.06677777499996106,294.374
0.07512009445005484,294.378
0.08346977015001661,294.378
0.09182310070003344,294.382
0.10017762291669594,294.378
0.1085289250000642,294.376
0.11687438958336618,294.383
0.12521586250004474,294.381
0.1335593277833444,294.381
0.14191009653332004,294.376
0.15026084098329495,294.376
0.1586124451499927,294.374
0.16696441598335998,294.376
0.17531598473336393,294.372
0.18366749723330333,294.376
0.19202285486668794,294.374
0.20037209098336461,294.369
0.20872419028334357,294.37
0.21707587986663082,294.37
0.22542732431672144,294.374
0.23377800833332002,294.374
0.24213002986665136,294.379
0.2504767277833404,294.376
0.25881960624998707,294.379
0.2671658111167441,294.382
0.2755096597333856,294.379
0.28385819166663473,294.376
0.2922067881999586,294.379
0.30055067708332595,294.374
0.3089009715333911,294.372
0.31724823889999243,294.374
0.3256007104167414,294.378
0.3339521861167062,294.374
0.3423033757000667,294.37
0.35065403611673296,294.372
0.3590052048667227,294.374
0.3673568395833475,294.374
0.37571031249996545,294.374
7.633328399000068e-09,
0.00835575069989621,294.378
0.016712376383293304,294.381
3.4667512712379295e-09,
0.008351495833388374,294.374
0.016703778466762742,294.378
0.02505525625007673,294.376
0.03340587776668447,294.374
0.04175685276665415,294.376
0.05010797083341458,294.376
0.05845911805008654,294.378
0.06681024791675251,294.378
0.07516113471671512,294.379
0.08351222430004175,294.379
0.09186322985005972,294.382
0.10021355208336899,294.381
0.10855322083334613,294.381
0.1169007694334141,294.382
0.12525186943336544,294.381
0.1336015326333533,294.383
0.14195236318337265,294.379
0.15030357151675464,294.379
0.158654634016663,294.381
0.1669974249999844,294.379
0.175339621516711,294.379
0.18368707568333775,294.381
0.19203816318343644,294.379
0.20038949721674726,294.381
0.20874053193341144,294.381
0.2170917986000859,294.379
0.22544351943336854,294.378
0.2337944958333537,294.379
0.24214557776673853,294.378
0.2504966937500285,294.381
0.2588476076334094,294.374
0.26719341250003104,294.381
0.27554450554998766,294.378
0.28388553958332824,294.383
0.29223150416667826,294.379
0.30058265901667863,294.382
0.3089238979167324,294.382
0.3172818895833188,294.382
0.32564009860010024,294.382
0.33399802083343577,294.382
0.3423579972167014,294.382
0.3507202819334149,294.382
0.3590798263833373,294.382
0.36744094305007213,294.382
0.3758003194333772,294.382
0.3841588666667424,294.382
0.3925155500000983,294.382
0.4008734097167083,294.382
0.4092315965167169,294.382
0.4175896680500349,294.382
0.4259483562499857,294.382
0.43430619651674834,294.382
0.4426665020833752,294.382
0.45102547500003615,294.382
0.4593840555500113,294.382
0.467741909016695,294.382
0.47609984513340653,294.382
0.48445757359998726,294.382
0.4928156229166537,294.382
0.5011598583333883,294.382
0.5095205590167704,294.382
0.5178864694333849,294.382
0.52624482984999,294.382
0.5346030791667241,294.382
0.5429544569333908,294.382
0.5513117541666968,294.382
0.559663226383418,294.382
0.568021071516705,294.382
0.5763803472167638,294.382
0.5847407840166852,294.382
0.5930996569334336,294.382
0.6014596895833771,294.382
0.6098192597167024,294.382
0.6181746145834041,294.382
0.6265334583333849,294.382
0.6348914368000502,294.382
0.6432507298499938,294.382
0.6516094840166867,294.382
0.6599703375000293,294.382
0.6683288402667434,294.382
0.6766874972166989,294.382
0.6850462333333174,294.382
0.693405031250101,294.382
0.7017644645834177,294.382
0.7101226590167546,294.382
0.7184818555500291,294.382
0.7268396208333191,294.382
0.7351996243000031,294.382
0.7435637187500106,294.382
0.7519227215166514,294.382
0.7602818333334047,294.382
